Name,Year,export,production
Australia,values2018_2019,3735,4725
Australia,values_May2023_2024,3600,4400
Brazil,values2018_2019,19600,29500
Brazil,values_May2023_2024,32398,42010
China,values2018_2019,205,10760
China,values_May2023_2024,250,10000
Colombia,values2018_2019,801,2400
Colombia,values_May2023_2024,680,2350
Egypt,values2018_2019,200,2405
Egypt,values_May2023_2024,300,2785
El_Salvador,values2018_2019,532,788
El_Salvador,values_May2023_2024,544,805
European_Union,values2018_2019,2411,16750
European_Union,values_May2023_2024,905,15475
Guatemala,values2018_2019,2125,2966
Guatemala,values_May2023_2024,1662,2575
India,values2018_2019,4700,34300
India,values_May2023_2024,7000,36000
Indonesia,values2018_2019,0,2200
Indonesia,values_May2023_2024,450,2600
Mexico,values2018_2019,2337,6812
Mexico,values_May2023_2024,1376,6254
Other,values2018_2019,5011,15082
Other,values_May2023_2024,3706,13603
Pakistan,values2018_2019,1100,5270
Pakistan,values_May2023_2024,800,7110
Russia,values2018_2019,402,6080
Russia,values_May2023_2024,551,6336
South_Africa,values2018_2019,1041,2257
South_Africa,values_May2023_2024,650,2174
Thailand,values2018_2019,10612,14581
Thailand,values_May2023_2024,12000,11200
Total,values2018_2019,58271,179158
Total,values_May2023_2024,72104,187881
